FeedLoop, LADZERON:       	Resumed update feed loop generic
UpdateHandler, LADZERON:  	Saving update of type updateChannelUserTyping
SessionPaths, LADZERON:   	Waiting for exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, LADZERON:   	Got exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, LADZERON:   	Waiting for exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
SessionPaths, LADZERON:   	Got exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
APIWrapper, LADZERON:     	Saved session!
UpdateHandler, LADZERON:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, LADZERON:  	Parsing updates (updates) received via the socket...
SeqLoop, LADZERON:        	Was fed updates of type updates...
FeedLoop, LADZERON:       	Resumed update feed loop generic
UpdateHandler, LADZERON:  	Saving update of type updateUserStatus
UpdateHandler, LADZERON:  	Parsing updates (updates) received via the socket...
SeqLoop, LADZERON:        	Was fed updates of type updates...
FeedLoop, LADZERON:       	Resumed update feed loop channel 1192373108
